id,house,electoral_name,civil_name,party,state,twitter,facebook
74044,câmara,WILSON SANTIAGO,JOSÉ WILSON SANTIAGO,PTB,PB,WilsonSantiago_,NA
204463,câmara,WLADIMIR GAROTINHO,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,PRP,RJ,WladGarotinho,NA
74439,câmara,WOLNEY QUEIROZ,WOLNEY QUEIROZ MACIEL,PDT,PE,WolneyQueirozM,https://www.facebook.com/wolneyqueirozpe
178889,câmara,ZÉ CARLOS,JOSÉ CARLOS NUNES JÚNIOR,PT,MA,Dep_ZeCarlosPT,https://www.facebook.com/DepZeCarlosPT
204559,câmara,ZÉ NETO,JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,depzeneto,NA
160632,câmara,ZÉ SILVA,JOSÉ SILVA SOARES,SOLIDARIEDADE,MG,ZeSilva_,https://www.facebook.com/deputadofederalzesilva
204517,câmara,ZÉ VITOR,JOSE VITOR DE RESENDE AGUIAR,PMN,MG,NA,https://www.facebook.com/zevitorMG/
160592,câmara,ZECA DIRCEU,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,PT,PR,zeca_dirceu,https://www.facebook.com/deputadofederalzecadirceu
4981,senado,ACIR GURGACZ,ACIR GURGACZ,PDT,RO,acirgurgacz,NA
5982,senado,ALESSANDRO VIEIRA,ALESSANDRO VIEIRA,PPS,SE,sen_alessandro,NA
945,senado,ALVARO DIAS,ALVARO DIAS,PODE,PR,alvarodias_,NA
5967,senado,ANGELO CORONEL,ANGELO CORONEL,PSD,BA,angelocoronel_,NA
5529,senado,ANTONIO ANASTASIA,ANTONIO ANASTASIA,PSDB,MG,Anastasia,NA
751,senado,AROLDE DE OLIVEIRA,AROLDE DE OLIVEIRA,PSD,RJ,AroldeOliveira,NA
5990,senado,CARLOS VIANA,CARLOS VIANA,PSD,MG,carlosaviana,NA
470,senado,CHICO RODRIGUES,CHICO RODRIGUES,DEM,RR,NA,https://www.facebook.com/chicorodriguesrr/
5973,senado,CID GOMES,CID GOMES,PDT,CE,cidfgomes,NA
739,senado,CIRO NOGUEIRA,CIRO NOGUEIRA,PP,PI,ciro_nogueira,NA
475,senado,CONFÚCIO MOURA,CONFÚCIO MOURA,MDB,RO,confuciomoura,NA
5998,senado,DANIELLA RIBEIRO,DANIELLA RIBEIRO,PP,PB,soudaniella111,NA
5537,senado,DÁRIO BERGER,DÁRIO BERGER,MDB,SC,darioberger,NA
3830,senado,DAVI ALCOLUMBRE,DAVI ALCOLUMBRE,DEM,AP,davialcolumbre,NA
4994,senado,EDUARDO BRAGA,EDUARDO BRAGA,MDB,AM,EduardoBraga_AM,https://www.facebook.com/EduardoBraga15/
5976,senado,EDUARDO GIRÃO,EDUARDO GIRÃO,PODE,CE,EduGiraoOficial,NA
3777,senado,EDUARDO GOMES,EDUARDO GOMES,MDB,TO,EduardoGomesTO,NA
5718,senado,ELIZIANE GAMA,ELIZIANE GAMA,PPS,MA,elizianegama,NA
5531,senado,ELMANO FÉRRER,ELMANO FÉRRER,PODE,PI,elmanoferrer,NA
22,senado,ESPERIDIÃO AMIN,ESPERIDIÃO AMIN,PP,SC,esperidiaoamin_,NA
5953,senado,FABIANO CONTARATO,FABIANO CONTARATO,REDE,ES,ContaratoSenado,NA
